Instituição Responsavel ;Nome do Programa ;Area de Interesse;Número da chamada;DATA DE VENCIMENTO;EDITAL
Fundação Volkswagen;X Concurso de Projetos Sociais Volkswagen na Comunidade 2017;"Apoio à gestão de organizações de Terceiro Setor Assistência Socia Cultura e Artes Defesa de Direitos Desenvolvimento comunitário, Educação, Empreendedorismo / Geração de Emprego e Renda, Esportes, Formação para o trabalho, Meio Ambiente e Saúde";;09/05/2017;http://vwnacomunidadeinscricoes.com.br/
ABONG – Associação Brasileira de Organizações Não Governamentais, Centro de Assessoria Multiprofissional (CAMP), Coordenadoria Ecumênica de Serviço (CESE) e Centro Feminista de Estudos e Assessoria (CFEMEA)e o financiado pela União Europeia; 1º Chamada do Projeto Construindo a Resistência Democrática;"Apoio à gestão de organizações de Terceiro Setor";;08/05/2017;https://valberlucio.wordpress.com/2017/04/06/inscricoes-abertas-para-chamada-publica-do-projeto-construindo-a-resistencia-democratica/
Fundo Nacional de Sustentabilidade das Organizações da Sociedade Civil;EDITAL DE AÇÕES DE PREVENÇÃO RELACIONADOS À EPIDEMIA DE IST/HIV/AIDS E HEPATITES VIRAIS;"Apoio à gestão de organizações de Terceiro Setor Assistência Social Defesa de Direitos Saúde";;05/05/2017;https://prosas.com.br/editais/2250-edital-de-acoes-de-prevencao-relacionados-a-epidemia-de-isthivaids-e-hepatites-virais
Secretaria de Estado de Direitos Humanos, participação social e cidadania- SEDPAC- Minas Gerais;Seleção de propostas de entidades não governamentais - SEDPAC;"Defesa de Direitos";;28/04/2017;https://prosas.com.br/editais/2257-selecao-de-propostas-de-entidades-nao-governamentais-sedpac
Grupo CCR;2º Edital Instituto CCR de Projetos Culturais;Cultura;;30/04/2017;http://www.institutoccr.com.br/editais/104262-segundo-edital-instituto-ccr-de-projetos-culturais
UBS - Brasil;Visionaris – Prêmio UBS ao Empreendedor Social;Apoio à gestão de organizações de Terceiro Setor;;29/04/2017;https://www.ubs.com/br/pt/filantropia/visionaris.html
Fundação Amazonas Sustentável e o Fundo Amazônia/BNDES;Floresta em Pé;Meio Ambiente;;05/06/2017;http://fas-amazonas.org/edital/
Itaú e UNICEF;Prêmio Itaú-UNICEF;Educação;;30/04/2017;http://captadores.org.br/2017/04/07/premio-itau-unicef-2017-esta-recebendo-propostas/
Fundação Banco do Brasil;Prêmio Fundação Banco do Brasil de Tecnologia Social;Meio Ambiente Educação Energia Geração de Renda Moradia e Saúde;;31/05/2017;http://fbb.org.br/pt-br/premio
Prefeitura Campinas;EDITAL DE CHAMAMENTO N.º 04/2017 –  GRUPOS REMANESCENTES DOS SERVIÇOS COMPLEMENTARES ;Desenvolvimento Comunitário;;11/05/2017;http://campinas.sp.gov.br/arquivos/assistencia-social-seguranca-alimentar/edital-04-2017/edital.pdf
